tconst,averageRating,numVotes
tt10039674,6.5,13
tt10040220,4.0,6
tt10040356,7.5,12
tt10040544,9.0,12
tt10040614,9.4,19
tt10040704,8.7,37
tt10040728,5.6,13
tt10040890,8.2,12
tt10040904,7.1,29
tt10041228,6.8,17
tt10041316,8.4,14
tt10041404,7.3,7
tt10041438,6.2,15
tt10041546,6.8,5
tt10041562,7.4,10
tt10041624,7.3,10
tt10041718,9.2,20
tt10042012,7.1,32
tt10042014,7.9,22
tt10042016,7.9,18
tt10042020,7.5,17
tt10042022,7.3,15
tt10042024,7.4,18
tt10042026,7.6,19
tt10042028,7.8,20
tt10042050,9.5,6
tt10042058,9.1,1659
tt10042060,7.8,51
tt10042064,6.8,9
tt10042074,8.1,304
tt10042110,8.2,1845
tt10042186,7.4,1797
tt10042222,8.1,7
tt10042274,8.1,8
tt10042294,8.0,7
tt10042296,7.9,7
tt10042320,9.0,6
tt10042404,6.7,18
tt10042450,8.4,105
tt10042470,8.6,5
tt10042476,7.7,89
tt10042548,7.7,25
tt10042668,7.9,37
tt10042770,9.5,97
tt10042816,8.3,190
tt10042892,7.4,28
tt10042896,7.4,28
tt10043238,9.7,11
tt10043254,7.5,8
tt10043278,8.0,27
tt10043288,7.1,8
tt10043404,7.7,22
tt10043436,7.9,8
tt10043452,8.2,11
tt10043624,7.7,11
tt10043726,6.2,25
tt10043732,6.7,6
tt10043806,5.8,26
tt10043918,2.6,22
tt10044000,6.4,17
tt10044220,8.6,95
tt10044448,7.9,19
tt10044622,8.0,7
tt10044634,7.0,8
tt10044666,9.7,6
tt10044674,4.2,8
tt10044676,7.2,6
tt10044704,5.8,38
tt10044772,5.2,42
tt10044800,8.6,1758
tt10044808,4.6,5
tt10044896,4.6,8
tt10044934,6.4,5
tt10044952,6.8,1640
tt10044954,6.5,150
tt10044956,6.7,111
tt10044958,7.0,79
tt10044960,7.1,61
tt10044962,7.1,61
tt10044966,6.3,15
tt10044970,7.2,56
tt10044972,6.9,55
tt10044984,7.1,49
tt10045014,4.6,10
tt10045072,5.8,81
tt10045136,7.4,41
tt10045164,8.8,13
tt10045280,6.9,10
tt10045434,6.5,153
tt10045490,8.9,1684
tt10045634,6.8,14
tt10045650,7.2,12
tt10045716,7.4,7
tt10046208,6.5,10
tt10046236,4.9,371
tt10046694,7.6,17
tt10047736,8.3,6
tt10047776,7.7,25
tt10047792,7.9,11
tt10047828,7.2,11
tt10047888,7.2,8
tt10047898,9.1,9
tt10047926,8.1,33
tt10047934,8.9,32
tt10047966,8.7,7
tt10048384,8.4,5
tt10048534,10.0,5
tt10048556,3.3,196
tt10048582,6.9,16
tt10048610,7.0,6
tt10048654,7.1,28
tt10048660,7.1,38
tt10048988,6.8,13
tt10048990,7.7,9
tt10048992,7.2,8
tt10048996,8.1,7
tt10049000,8.1,7
tt10049002,7.5,8
tt10049004,7.2,8
tt10049006,7.1,8
tt10049008,6.9,7
tt10049012,7.1,7
tt10049014,7.1,7
tt10049016,7.1,7
tt10049062,7.5,6
tt10049072,7.7,6
tt10049110,7.5,28
tt10049168,8.7,22
tt10049170,8.6,20
tt10049190,9.0,8
tt10049238,7.5,10
tt10049314,5.6,5
tt10049386,8.7,6
tt10049420,8.0,10
tt10049704,9.8,6
tt10049728,7.8,17
tt10049758,6.4,21
tt10049848,3.8,87
tt10049912,7.8,5
tt10050042,9.7,13
tt10050044,7.3,7
tt10050274,6.5,11
tt10050298,8.8,26
tt10050302,9.0,29
tt10050306,8.7,29
tt10050308,8.0,25
tt10050310,8.2,26
tt10050312,8.1,24
tt10050314,8.8,30
tt10050316,8.3,27
tt10050318,8.1,24
tt10050320,9.5,19
tt10050322,9.2,20
tt10050328,8.5,1018
tt10050330,9.1,1151
tt10050332,7.7,975
tt10050334,7.4,909
tt10050336,7.7,835
tt10050338,9.0,1061
tt10050340,8.6,977
tt10050342,8.1,734
tt10050346,7.9,642
tt10050348,9.1,848
tt10050352,8.9,749
tt10050374,7.8,31
tt10050438,8.6,5
tt10050560,7.8,6
tt10050752,5.9,120
tt10050760,8.8,8
tt10050762,8.1,7
tt10050766,7.7,698
tt10050772,7.6,3604
tt10050778,8.1,1329
tt10050780,7.1,1960
tt10050782,7.2,785
tt10050912,8.1,12
tt10050914,7.9,10
tt10050970,7.3,33
tt10051038,9.2,6
tt10051414,8.2,22
tt10051586,2.3,77
tt10052204,8.6,25
tt10052290,6.2,56
tt10052610,2.8,10
tt10053944,7.1,27
tt10053952,6.5,8
tt10054092,8.7,21
tt10054118,8.2,5
tt10054202,6.6,5
tt10054258,6.4,5
tt10054260,7.0,9
tt10054262,7.1,7
tt10054312,9.2,5
tt10054342,8.1,11
tt10054406,7.4,7
tt10054414,8.2,10
tt10054544,8.0,14
tt10054588,3.3,71
tt10054654,7.0,9
tt10054758,7.2,9
tt10054764,7.1,9
tt10054770,7.0,9
tt10054776,7.0,9
tt10054928,6.4,5
tt10054932,6.6,5
tt10054952,6.6,5
tt10054958,4.6,21
tt10054964,8.2,10
tt10054982,8.3,6
tt10055068,8.0,6
tt10055090,8.5,27
tt10055344,9.0,191
tt10055592,7.0,5
tt10055600,8.9,13
tt10055734,7.0,532
tt10055748,7.5,21
tt10055764,4.8,9
tt10055770,7.3,920
tt10055774,4.1,10
tt10055788,6.4,5
tt10055990,8.4,5
